StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,MotionTiming_First Click,MotionTiming_Last Click,MotionTiming_Page Submit,MotionTiming_Click Count,MCB_1,MRB_1,BCheck1,BCheck1_DO,BCheck2,BCheck3,BaTiming_First Click,BaTiming_Last Click,BaTiming_Page Submit,BaTiming_Click Count,BCB_1,BRB_1,Check1,Check2,Feedback,BridgeTime_First Click,BridgeTime_Last Click,BridgeTime_Page Submit,BridgeTime_Click Count,TCB_1,TRB_1,TCheck1,TCheck1,Feedback,Gender,Gender_4_TEXT,Age,Eth,Race,Story,FL_22_DO,FL_28_DO,FL_36_DO,FL_40_DO,Motiondetectorblock_DO,Batteryblock_DO,Trainblock_DO
1/23/2019 16:25,1/23/2019 16:27,IP Address,,100,115,TRUE,1/23/2019 16:27,R_2YXTkurHNcTuPOf,,,,,,,anonymous,EN,Yes,0,0,28.798,0,100,100,Billy,Neither Billy nor Suzy|Suzy|Billy|Both Billy and Suzy,2 or more,He was told to not come to work tomorrow,,,,,,,,,,,,,,,,,,,Male,,29,Yes,White,Motion,FL_23,MotionCause|MotionRelevant,,,CVBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:27,IP Address,,100,86,TRUE,1/23/2019 16:27,R_2zdov087jy7QarA,,,,,,,anonymous,EN,Yes,0,0,13.622,0,51,3,Neither Billy nor Suzy,Suzy|Neither Billy nor Suzy|Billy|Both Billy and Suzy,1 or more,It could have been either Billy or Suzy,,,,,,,,,,,,,,,,,,,Female,,49,No,White,Motion,FL_23,MotionRelevant|MotionCause,,,DNSB|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,104,TRUE,1/23/2019 16:28,R_1QH2PcUEkp16osO,,,,,,,anonymous,EN,Yes,14.623,14.623,15.928,1,72,71,Neither Billy nor Suzy,Suzy|Billy|Neither Billy nor Suzy|Both Billy and Suzy,1 or more,"He did, it didn't matter that Suzy also did it.",,,,,,,,,,,,,,,,,,,Male,,31,No,White,Motion,FL_23,MotionRelevant|MotionCause,,,DNBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,80,TRUE,1/23/2019 16:28,R_3COxH0eI4MYKdjt,,,,,,,anonymous,EN,Yes,0,0,13.334,0,100,100,Billy,Billy|Suzy|Neither Billy nor Suzy|Both Billy and Suzy,2 or more,If billy had listened and not shown up it would not have gone off.,,,,,,,,,,,,,,,,,,,Male,,24,No,White,Motion,FL_23,MotionRelevant|MotionCause,,,CVBS|MotionTiming,,
1/23/2019 16:25,1/23/2019 16:28,IP Address,,100,128,TRUE,1/23/2019 16:28,R_77gXUvFysHaUrPr,,,,,,,anonymous,EN,Yes,,,,,,,,,,,2.15,11.382,11.85,4,71,72,Billy,One,,,,,,,,,,,Female,,34,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDVSB|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,121,TRUE,1/23/2019 16:28,R_3dLCkvSZqr2gQP2,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,26.837,0,86,100,Billy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",He defied the signal.,Male,,42,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TCVBS|BridgeTime
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,128,TRUE,1/23/2019 16:28,R_2eQKeJVCFFF7Rxq,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,23.151,0,50,41,Neither Billy nor Suzy,One,They only needed one battery so it wasn't just Billy's actions that made them able to start the car.,,,,,,,,,,Female,,,,,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDNSB|BaTiming,
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,49,TRUE,1/23/2019 16:28,R_3lYbIQLoKn5I9j6,,,,,,,anonymous,EN,Yes,0,0,2.045,0,62,73,Billy,Suzy|Neither Billy nor Suzy|Both Billy and Suzy|Billy,1 or more,Agree,,,,,,,,,,,,,,,,,,,Male,,20,No,Asian,Motion,FL_23,MotionRelevant|MotionCause,,,CNBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,125,TRUE,1/23/2019 16:28,R_1H2nk34UOLszQKo,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,35.243,35.243,35.777,1,0,0,Neither Billy nor Suzy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",they both had green lights and green meant they could go.  They didn't know the bridge was weak and would collapse with two trains on it.,Male,,35,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TCNSB|BridgeTime
1/23/2019 16:25,1/23/2019 16:28,IP Address,,100,139,TRUE,1/23/2019 16:28,R_3Pj1hKn6VXtVq6J,,,,,,,anonymous,EN,Yes,0,0,52.581,0,0,0,Billy,Billy|Neither Billy nor Suzy|Both Billy and Suzy|Suzy,1 or more,disagree,,,,,,,,,,,,,,,,,,,Female,,46,No,White,Motion,FL_23,MotionRelevant|MotionCause,,,DVBS|MotionTiming,,
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,24,TRUE,1/23/2019 16:28,R_3P6lcjp7GvPKOLo,,,,,,,anonymous,EN,Yes,0,0,0.864,0,58,75,Both Billy and Suzy,Neither Billy nor Suzy|Both Billy and Suzy|Suzy|Billy,1 or more,behavioral,,,,,,,,,,,,,,,,,,,Male,,24,No,White,Motion,FL_23,MotionRelevant|MotionCause,,,CNBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,116,TRUE,1/23/2019 16:28,R_6YEDaKeVc7TQdMt,,,,,,,anonymous,EN,Yes,14.191,15.846,18.908,6,82,96,Neither Billy nor Suzy,Suzy|Both Billy and Suzy|Neither Billy nor Suzy|Billy,1 or more,Bill arrived at nine and dictacted that Suzy be there at that time as well,,,,,,,,,,,,,,,,,,,Male,,37,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DVSB|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,99,TRUE,1/23/2019 16:28,R_2uZC14J9dxowhhZ,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,1.325,1.325,18.252,1,50,37,Neither Billy nor Suzy,Either train is heavy enough on its own to break the bridge.,The bridge was ready to collapse already and he was just following the turn signal. He could not know the condition of the bridge.,Female,,27,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TDNSB|BridgeTime
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,133,TRUE,1/23/2019 16:28,R_21ae6xcewoftTib,,,,,,,anonymous,EN,Yes,,,,,,,,,,,23.1,23.473,27.975,2,71,71,Neither Billy nor Suzy,One,"He played a role, if suzy didn't buy a battery then it would have been 100% Billy who started the car.",,,,,,,,,,Male,,30,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDNBS|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,140,TRUE,1/23/2019 16:28,R_3fbf0ltlfua4TDj,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,46.961,0,94,91,Billy,One,he stoled the battery so the car will work,,,,,,,,,,Male,,40,No,White,Battery,FL_24,,BatteryCause|BatteryRelevance,,,BaDVBS|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,105,TRUE,1/23/2019 16:28,R_2WPtfIzOowo7hSn,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,21.389,0,51,73,Neither Billy nor Suzy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",billy drove over the bridge,Female,,23,No,Black or African American,Train,FL_26,,,TrainCause|TrainRelevance,,,TCNBS|BridgeTime
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,85,TRUE,1/23/2019 16:28,R_2QXqLdrvqDdhBl8,,,,,,,anonymous,EN,Yes,0,0,11.128,0,51,90,Billy,Billy|Neither Billy nor Suzy|Both Billy and Suzy|Suzy,1 or more,I picked right around the middle because who knows,,,,,,,,,,,,,,,,,,,Female,,27,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DVBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,118,TRUE,1/23/2019 16:28,R_1BXdXrNA8Wc2j17,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,23.579,0,100,86,Billy,Two,"because he stole the battery, it wasn't hard for suzy to get one she bought it like a moral person.",,,,,,,,,,Male,,29,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaCVSB|BaTiming,
1/23/2019 16:25,1/23/2019 16:28,IP Address,,100,165,TRUE,1/23/2019 16:28,R_2os7aXno9Mmv5Yt,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,7.628,32.415,33.688,9,51,50,Neither Billy nor Suzy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.","They both did. Billy was only half of the problem. Without both of them, nothing would have happened. Also, it wasn't the fault of either as they did not know of the problem.",Male,,37,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TCNBS|BridgeTime
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,151,TRUE,1/23/2019 16:28,R_vDNTmwmGZ8o99nP,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,30.116,0,0,0,Neither Billy nor Suzy,Either train is heavy enough on its own to break the bridge.,Since either train would cause it to collapse and neither person caused it the fact they both where on the bridge is irrelevant.  It would have happened if only one person did it and it wasn't either persons fault.,Male,,44,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TDNBS|BridgeTime
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,120,TRUE,1/23/2019 16:28,R_eyqbW21S3BpqWzv,,,,,,,anonymous,EN,Yes,,,,,,,,,,,1.703,27.779,28.458,3,18,71,Neither Billy nor Suzy,One,"He did to an extent, but since the car only needed one battery, he wasn't the only cause because even if he had not gotten the battery, Suzy did.",,,,,,,,,,Male,,29,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDNBS|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,133,TRUE,1/23/2019 16:28,R_24kfehCWKBl8nrz,,,,,,,anonymous,EN,Yes,0,0,51.823,0,,100,Billy,Neither Billy nor Suzy|Billy|Suzy|Both Billy and Suzy,1 or more,He should not have been there ,,,,,,,,,,,,,,,,,,,Male,,58,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DVBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,129,TRUE,1/23/2019 16:28,R_bwumM2hJudwG84V,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,21.196,0,0,0,Neither Billy nor Suzy,Either train is heavy enough on its own to break the bridge.,Both conductors were following the instructions they were given. Neither Billy nor Emily personally caused the bridge to collapse.,Male,,37,,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TDNSB|BridgeTime
1/23/2019 16:25,1/23/2019 16:28,IP Address,,100,168,TRUE,1/23/2019 16:28,R_3flqi1S5oTDFleu,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,50.081,0,19,59,Billy,One,"Suzy got a battery too, and the car needs only one to start. Billy's action was immoral and wrong thing to do.",,,,,,,,,,Male,,38,No,Asian,Battery,FL_24,,BatteryCause|BatteryRelevance,,,BaDVSB|BaTiming,
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,83,TRUE,1/23/2019 16:28,R_24x8qH1A4xt3HC5,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,21.942,0,51,80,Billy,Two,They both were able to find a battery so they were equally responsible,,,,,,,,,,Male,,36,No,Asian,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaCVBS|BaTiming,
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,74,TRUE,1/23/2019 16:28,R_2v0yJriFpZrdjlu,,,,,,,anonymous,EN,Yes,0,0,12.098,0,50,51,Neither Billy nor Suzy,Both Billy and Suzy|Billy|Neither Billy nor Suzy|Suzy,2 or more,Since it took two people to set it off I would say he partly responsible.,,,,,,,,,,,,,,,,,,,Male,,41,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,CNSB|MotionTiming,,
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,71,TRUE,1/23/2019 16:28,R_1q8rFUQ63pY0AV9,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,8.273,0,38,64,Billy,One,Mostly fairness to be honest. ,,,,,,,,,,Male,,29,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDVBS|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,157,TRUE,1/23/2019 16:28,R_3GqfztrkIrqk5QN,,,,,,,anonymous,EN,Yes,,,,,,,,,,,3.497,7.404,62.138,3,52,63,Billy,Two,"I think they shared equal ""responsibility"" in getting the car to start, because they both contributed one battery.",,,,,,,,,,Female,,25,Yes,White,Battery,FL_24,,BatteryCause|BatteryRelevance,,,BaCVBS|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,139,TRUE,1/23/2019 16:28,R_2Phu6ILBA1ND9IL,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,31.313,0,82,84,Neither Billy nor Suzy,Two,they needed his battery also,,,,,,,,,,Female,,64,No,White,Battery,FL_24,,BatteryCause|BatteryRelevance,,,BaCNSB|BaTiming,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,154,TRUE,1/23/2019 16:28,R_3CPL4IAQja9TrmH,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,29.845,0,56,71,Billy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",I agree that he caused it because he ignored the stop signal,Male,,61,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TCVSB|BridgeTime
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,140,TRUE,1/23/2019 16:28,R_1PbdH16r6Bhi64p,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0.934,29.847,33.297,4,70,51,Billy,Either train is heavy enough on its own to break the bridge.,"I think both Billy and Suzy share 50% of the blame for the bridge collapse. It's not right to blame either of them 100%, since both trains were on the bridge. ",Male,,30,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TDVBS|BridgeTime
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,148,TRUE,1/23/2019 16:28,R_12g0O4AImbJOygo,,,,,,,anonymous,EN,Yes,0,0,38.933,0,50,50,Neither Billy nor Suzy,Neither Billy nor Suzy|Suzy|Both Billy and Suzy|Billy,2 or more,"Merely that both of them did what they were asked to do, so they were each ""half"" at fault.",,,,,,,,,,,,,,,,,,,Male,,30,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,CNBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:28,IP Address,,100,143,TRUE,1/23/2019 16:28,R_3EKWiVjM8OfdsKB,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,30.69,0,71,100,Neither Billy nor Suzy,One,Both were responsible for the end result of being able to start the car. They both get some credit. ,,,,,,,,,,Female,,56,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDNSB|BaTiming,
1/23/2019 16:27,1/23/2019 16:28,IP Address,,100,82,TRUE,1/23/2019 16:28,R_RWxAiUj0JuE1TY5,,,,,,,anonymous,EN,Yes,0,0,14.882,0,0,8,Neither Billy nor Suzy,Neither Billy nor Suzy|Suzy|Both Billy and Suzy|Billy,1 or more,It wasn't he alone that caused it so he alone shouldn't be blamed.,,,,,,,,,,,,,,,,,,,Female,,43,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DNBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:29,IP Address,,100,167,TRUE,1/23/2019 16:29,R_29aVmgOu3pVgDKl,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,0.969,0,91,83,Billy,Two,I agree to the statements “Billy caused them to be able to start the car”?,,,,,,,,,,Male,,27,No,Asian,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaCNBS|BaTiming,
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,92,TRUE,1/23/2019 16:29,R_3L1CVKN7swQC0Q2,,,,,,,anonymous,EN,Yes,12.937,13.96,14.676,2,100,77,Neither Billy nor Suzy,Suzy|Both Billy and Suzy|Billy|Neither Billy nor Suzy,2 or more,Because they both caused it to go off,,,,,,,,,,,,,,,,,,,Female,,21,Yes,White,Motion,FL_23,MotionCause|MotionRelevant,,,CNSB|MotionTiming,,
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,93,TRUE,1/23/2019 16:29,R_2fm7aqWtny3rSvd,,,,,,,anonymous,EN,Yes,,,,,,,,,,,1.191,9.913,25.122,5,77,79,Neither Billy nor Suzy,Two,"He was partially responsible, but not fully.",,,,,,,,,,Male,,36,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaCNBS|BaTiming,
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,95,TRUE,1/23/2019 16:29,R_1kZIbRGF9o2vdIA,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,23.152,0,100,82,Neither Billy nor Suzy,One,its factually correct,,,,,,,,,,Female,,37,No,White,Battery,FL_24,,BatteryCause|BatteryRelevance,,,BaDNBS|BaTiming,
1/23/2019 16:26,1/23/2019 16:29,IP Address,,100,135,TRUE,1/23/2019 16:29,R_1roZ7peFkdTZGuo,,,,,,,anonymous,EN,Yes,0,0,26.13,0,50,0,Neither Billy nor Suzy,Suzy|Both Billy and Suzy|Neither Billy nor Suzy|Billy,1 or more,The both arrived at 9AM. It never states who entered the room first or if they entered at the same time. ,,,,,,,,,,,,,,,,,,,Female,,24,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DNBS|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:29,IP Address,,100,127,TRUE,1/23/2019 16:29,R_ONZ9eYh7DKBqGA1,,,,,,,anonymous,EN,Yes,17.289,17.289,18.142,1,,,Neither Billy nor Suzy,Neither Billy nor Suzy|Suzy|Both Billy and Suzy|Billy,1 or more,"Both arrived at the stated time. You cannot tell who caused the motion detector to go off, hence my response was neutral.",,,,,,,,,,,,,,,,,,,Male,,,No,White,Motion,FL_23,MotionCause|MotionRelevant,,,DNSB|MotionTiming,,
1/23/2019 16:26,1/23/2019 16:29,IP Address,,100,180,TRUE,1/23/2019 16:29,R_3kmQJJWZc1XUmy4,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,35.673,0,75,71,Billy,Either train is heavy enough on its own to break the bridge.,Billy made a poor choice.,Male,,28,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TDNSB|BridgeTime
1/23/2019 16:26,1/23/2019 16:29,IP Address,,100,153,TRUE,1/23/2019 16:29,R_UGRdaxeKwfzYuad,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,50.08,0,100,100,Billy,Either train is heavy enough on its own to break the bridge.,He failed to follow his signal,Female,,35,No,White,Train,FL_26,,,TrainCause|TrainRelevance,,,TDVSB|BridgeTime
1/23/2019 16:28,1/23/2019 16:29,IP Address,,100,58,TRUE,1/23/2019 16:29,R_1OK47z2wUgulxFC,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,1.22,0,73,60,Suzy,Either train is heavy enough on its own to break the bridge.,,Female,,30,No,Asian,Train,FL_26,,,TrainCause|TrainRelevance,,,TCVSB|BridgeTime
1/23/2019 16:25,1/23/2019 16:29,IP Address,,100,200,TRUE,1/23/2019 16:29,R_1ifC9icERlH3RCs,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,92.103,0,81,100,Neither Billy nor Suzy,Two,The car needs two batteries so if Billy wasnt able to get one half of the batter then the car wouldn't work.,,,,,,,,,,Female,,24,No,Asian,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaCNSB|BaTiming,
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,105,TRUE,1/23/2019 16:29,R_2dzrbzWACA5hwxe,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,24.912,0,1,92,Billy,Either train is heavy enough on its own to break the bridge.,The bridge was going to collapse regardless ,Male,,41,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TDVSB|BridgeTime
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,117,TRUE,1/23/2019 16:29,R_3imy95gzSRSOCdY,,,,,,,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,0,0,27.522,0,8,53,Both Billy and Suzy,"Neither train is heavy enough on its own to break the bridge, but both together will be too heavy for it.",It was done jointly.  ,Female,,57,No,White,Train,FL_26,,,TrainRelevance|TrainCause,,,TCNBS|BridgeTime
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,110,TRUE,1/23/2019 16:29,R_1gSADbxLeuczeZ2,,,,,,,anonymous,EN,Yes,0,0,21.826,0,30,90,Billy,Suzy|Neither Billy nor Suzy|Both Billy and Suzy|Billy,1 or more,"The fact that it would have gone off anyways, due to Suzy being there.",,,,,,,,,,,,,,,,,,,Male,,34,Yes,"White,More than one Race",Motion,FL_23,MotionCause|MotionRelevant,,,DVSB|MotionTiming,,
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,96,TRUE,1/23/2019 16:29,R_1IcGB6pFhki8v2i,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,15.405,0,0,100,Billy,One,Suzy bought the battery. Billy didn't need to steal one.,,,,,,,,,,Male,,24,No,White,Battery,FL_24,,BatteryRelevance|BatteryCause,,,BaDVBS|BaTiming,
1/23/2019 16:27,1/23/2019 16:29,IP Address,,100,113,TRUE,1/23/2019 16:29,R_2AGNkRGoJInpcb1,,,,,,,anonymous,EN,Yes,,,,,,,,,,,0,0,35.463,0,0,82,Neither Billy nor Suzy,Two,It was a joint effort,,,,,,,,,,Male,,18,No,Black or African American,Battery,FL_24,,BatteryCause|BatteryRelevance,,,BaCNSB|BaTiming,
