Subject Number,duration (sec),Condition,IV1_Norm Transgression,IV2_Question Type,DV_Selection of Normal Cause? (0=no;1=yes),DV_Selection of Abnormal Cause? (0=no;1=yes),DV_CAUSAL JUDGMENT (1=only normal;2=only abnormal;3=both),Check 1a: What was used by Alex? (1=AX200;2=BY33;3=I don't know),Check 1b: What was used by Benni? (1=AX200;2=BY33;3=I don't know),Correct Answer Fertilizercheck if 1a=1 & 1b=2 (1=yes;0=no),Check 2a: Was AX200 allowed? (1=yes;2=no;3=I don't know),Check 2b: Was BY33 allowed? (1=yes;2=no;3=I don't know),Correct Answer Normcheck if 2a=1 & 2b=2 (1=yes;0=no) ,Check 3a: percentage of effects if only AX200 present,Check 3b: percentage of effects if only BY33 present,Check 3c: percentage of effects if both AX200 and BY33 present,Correct Answer MNC-Check if 3a<3c & 3b<3c (1=yes;0=no),"Correct Answer to all Checks 1, 2 & 3  (1=yes;0=no)",Gender (1=male;2=female;3=not specified),Age (years)
282,232,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,29
310,187,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,42
313,228,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,19
358,159,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,36
361,192,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,36
401,301,1,0,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,38
415,210,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
425,229,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,34
431,390,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,52
485,165,1,0,1,0,1,2,1,2,1,1,2,1,0,0,50,1,1,2,30
494,181,1,0,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,1,37
513,279,1,0,1,1,1,3,1,2,1,1,2,1,0,0,80,1,1,2,59
515,241,1,0,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,64
519,241,1,0,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,21
530,305,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,26
536,205,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,25
540,291,1,0,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,25
550,203,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,34
565,244,1,0,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,20
577,215,1,0,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,28
594,153,1,0,1,1,1,3,1,2,1,1,2,1,30,30,40,1,1,1,59
604,239,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,18
617,157,1,0,1,0,1,2,1,2,1,1,2,1,30,40,70,1,1,1,18
630,157,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,19
633,151,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,35
643,301,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,49
662,138,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,47
668,245,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,43
675,217,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,31
689,374,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
724,172,1,0,1,0,1,2,1,2,1,1,2,1,10,20,50,1,1,1,32
748,194,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,26
778,290,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,53
782,193,1,0,1,1,1,3,1,2,1,1,2,1,0,0,90,1,1,2,36
793,354,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,29
838,230,1,0,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,26
841,106,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,26
845,205,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
852,257,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,55
860,360,1,0,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,48
28,183,2,0,2,0,1,2,1,2,1,1,2,1,0,0,50,1,1,1,36
31,219,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,33
38,357,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,45
41,288,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,35
52,680,2,0,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,27
62,220,2,0,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,21
70,239,2,0,2,0,1,2,1,2,1,1,2,1,50,50,100,1,1,2,21
88,214,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
95,121,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,27
102,85,2,0,2,0,1,2,1,2,1,1,2,1,10,10,80,1,1,1,24
130,266,2,0,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,1,29
133,159,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,33
148,333,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,41
151,192,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,26
158,165,2,0,2,1,1,3,1,2,1,1,2,1,0,0,80,1,1,2,28
222,321,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,43
229,191,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,25
277,350,2,0,2,1,1,3,1,2,1,1,2,1,0,0,50,1,1,2,33
286,219,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,56
302,199,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,34
306,170,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
320,197,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,31
355,251,2,0,2,0,1,2,1,2,1,1,2,1,0,0,50,1,1,2,26
373,205,2,0,2,0,1,2,1,2,1,1,2,1,0,0,30,1,1,2,41
380,141,2,0,2,0,1,2,1,2,1,1,2,1,0,0,90,1,1,2,49
405,237,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,26
439,359,2,0,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,1,24
448,188,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,27
450,206,2,0,2,0,1,2,1,2,1,1,2,1,30,30,40,1,1,2,23
455,348,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,55
488,282,2,0,2,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,28
491,406,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,57
522,220,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,31
557,245,2,0,2,0,1,2,1,2,1,1,2,1,50,50,100,1,1,2,26
569,188,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,29
590,296,2,0,2,0,1,2,1,2,1,1,2,1,0,0,90,1,1,2,53
614,215,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,39
656,383,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,36
710,373,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,61
714,121,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,25
718,149,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,23
722,170,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,18
756,169,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
762,119,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,28
773,191,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
775,167,2,0,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,39
786,288,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,39
790,300,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,24
803,180,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,29
822,301,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
834,104,2,0,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
5,207,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,28
54,140,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,18
66,201,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,21
110,223,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,55
119,288,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,29
178,171,3,0,3,0,1,2,1,2,1,1,2,1,0,0,80,1,1,1,22
185,561,3,0,3,0,1,2,1,2,1,1,2,1,0,50,100,1,1,1,28
191,302,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,36
225,151,3,0,3,0,1,2,1,2,1,1,2,1,0,0,80,1,1,2,24
254,141,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,36
297,104,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,27
317,138,3,0,3,0,1,2,1,2,1,1,2,1,0,0,80,1,1,1,33
325,134,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
338,237,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,29
344,113,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
348,205,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,28
369,167,3,0,3,0,1,2,1,2,1,1,2,1,0,10,40,1,1,2,36
387,168,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,26
396,276,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,28
399,305,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,19
411,108,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,26
422,146,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,30
458,238,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,22
462,431,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,58
465,190,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,50
472,234,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,29
476,170,3,0,3,0,1,2,1,2,1,1,2,1,0,0,90,1,1,2,37
504,131,3,0,3,0,1,2,1,2,1,1,2,1,20,20,80,1,1,2,27
561,140,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,21
582,170,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,32
584,185,3,0,3,0,1,2,1,2,1,1,2,1,0,0,60,1,1,2,44
598,173,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,22
620,241,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,23
640,324,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,57
672,259,3,0,3,0,1,2,1,2,1,1,2,1,0,0,80,1,1,2,24
738,149,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,26
742,145,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,19
757,154,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,25
765,150,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,19
826,170,3,0,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,19
849,206,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,64
863,202,3,0,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,55
42,300,4,1,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,30
49,141,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,37
67,375,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,42
71,248,4,1,1,0,1,2,1,2,1,1,2,1,0,30,40,1,1,2,31
83,310,4,1,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,1,53
117,234,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,40
131,170,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,25
155,217,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
203,469,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
218,122,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,39
223,252,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
230,227,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,20
251,497,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,50
267,213,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,27
314,673,4,1,1,1,1,3,1,2,1,1,2,1,10,10,90,1,1,1,44
328,228,4,1,1,1,1,3,1,2,1,1,2,1,10,10,60,1,1,1,34
408,371,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,42
463,269,4,1,1,1,1,3,1,2,1,1,2,1,0,50,100,1,1,1,24
523,196,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
527,193,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,43
531,210,4,1,1,1,1,3,1,2,1,1,2,1,0,0,50,1,1,2,42
562,315,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,43
574,383,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
628,417,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,51
647,186,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,30
673,230,4,1,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,1,18
683,334,4,1,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,31
728,170,4,1,1,0,1,2,1,2,1,1,2,1,30,30,40,1,1,1,22
732,162,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,25
735,261,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,51
794,188,4,1,1,0,1,2,1,2,1,1,2,1,10,40,70,1,1,2,20
823,262,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,33
832,316,4,1,1,1,1,3,1,2,1,1,2,1,0,20,100,1,1,2,26
864,153,4,1,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,35
1,188,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,28
11,227,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,32
25,451,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,38
63,228,5,1,2,1,1,3,1,2,1,1,2,1,0,0,70,1,1,1,24
79,162,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,23
124,227,5,1,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,1,36
127,252,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,31
137,165,5,1,2,1,1,3,1,2,1,1,2,1,0,0,20,1,1,2,43
159,428,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,52
166,232,5,1,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,2,30
234,353,5,1,2,0,1,2,1,2,1,1,2,1,0,0,60,1,1,1,32
240,281,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,25
258,80,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,36
263,106,5,1,2,0,1,2,1,2,1,1,2,1,20,20,80,1,1,1,27
274,457,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,38
280,267,5,1,2,0,1,2,1,2,1,1,2,1,0,0,90,1,1,1,19
352,264,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,57
390,213,5,1,2,1,1,3,1,2,1,1,2,1,10,10,90,1,1,1,21
430,143,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,23
437,258,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,30
459,410,5,1,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,1,32
477,543,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,24
495,248,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,33
498,209,5,1,2,0,1,2,1,2,1,1,2,1,10,40,50,1,1,1,28
510,159,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,30
537,274,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,38
585,287,5,1,2,1,1,3,1,2,1,1,2,1,0,0,90,1,1,1,35
595,191,5,1,2,1,1,3,1,2,1,1,2,1,30,30,40,1,1,1,29
631,343,5,1,2,1,1,3,1,2,1,1,2,1,0,0,80,1,1,2,37
638,408,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,52
657,185,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,40
663,96,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
665,1829,5,1,2,1,1,3,1,2,1,1,2,1,0,0,50,1,1,2,38
669,225,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,28
695,202,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,43
707,309,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,21
711,139,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,19
715,180,5,1,2,1,1,3,1,2,1,1,2,1,0,0,80,1,1,2,30
743,165,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,63
766,300,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,21
770,253,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
776,167,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,32
797,145,5,1,2,0,1,2,1,2,1,1,2,1,0,50,100,1,1,2,23
811,161,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,26
830,284,5,1,2,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,39
835,191,5,1,2,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,32
846,147,5,1,2,0,1,2,1,2,1,1,2,1,0,0,50,1,1,2,22
86,315,6,1,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,46
100,160,6,1,3,1,1,3,1,2,1,1,2,1,30,30,40,1,1,2,24
120,175,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,32
149,156,6,1,3,0,1,2,1,2,1,1,2,1,50,50,100,1,1,2,27
176,106,6,1,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,25
200,172,6,1,3,1,0,1,1,2,1,1,2,1,0,0,70,1,1,2,41
211,215,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,27
226,248,6,1,3,1,0,1,1,2,1,1,2,1,0,0,50,1,1,1,25
283,159,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,40
291,211,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,19
299,1180,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,40
307,210,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,34
311,178,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,22
342,262,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,25
345,381,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
370,227,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,36
381,209,6,1,3,0,1,2,1,2,1,1,2,1,0,0,40,1,1,2,41
402,175,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,27
412,330,6,1,3,1,1,3,1,2,1,1,2,1,30,30,80,1,1,2,34
419,310,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,53
426,179,6,1,3,0,1,2,1,2,1,1,2,1,0,0,70,1,1,2,21
432,200,6,1,3,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,26
449,203,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,29
473,215,6,1,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,38
489,290,6,1,3,0,1,2,1,2,1,1,2,1,0,0,90,1,1,2,36
505,258,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,26
508,171,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,25
534,267,6,1,3,0,1,2,1,2,1,1,2,1,50,0,100,1,1,2,18
566,192,6,1,3,1,1,3,1,2,1,1,2,1,20,20,90,1,1,1,26
570,500,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,43
588,175,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
599,203,6,1,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,1,41
608,285,6,1,3,0,1,2,1,2,1,1,2,1,0,50,100,1,1,1,28
611,235,6,1,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,59
634,203,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,42
651,204,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,34
686,294,6,1,3,1,0,1,1,2,1,1,2,1,0,0,100,1,1,2,24
719,204,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,24
745,226,6,1,3,0,1,2,1,2,1,1,2,1,40,40,100,1,1,1,33
753,196,6,1,3,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,51
827,328,6,1,3,1,1,3,1,2,1,1,2,1,0,0,90,1,1,2,39
839,244,6,1,3,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,46
861,220,6,1,3,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,39
4,190,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,20
7,164,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,44
15,173,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
68,350,7,2,1,0,1,2,1,2,1,1,2,1,30,30,40,1,1,1,53
89,185,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
189,319,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,33
197,161,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,50
201,240,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
204,152,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,26
227,293,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,21
252,156,7,2,1,1,1,3,1,2,1,1,2,1,0,50,100,1,1,1,27
264,112,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
268,257,7,2,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,41
300,178,7,2,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,1,20
308,242,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,20
315,268,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,18
318,188,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,35
363,176,7,2,1,0,1,2,1,2,1,1,2,1,50,50,100,1,1,2,30
371,179,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,34
382,308,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,49
385,178,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,22
394,156,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,31
451,330,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,56
460,211,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,29
466,134,7,2,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,33
478,192,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,21
481,123,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,34
499,276,7,2,1,0,1,2,1,2,1,1,2,1,0,20,100,1,1,2,35
506,240,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,41
521,458,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,39
524,252,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,31
538,272,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
559,204,7,2,1,1,1,3,1,2,1,1,2,1,0,0,30,1,1,2,30
571,151,7,2,1,1,1,3,1,2,1,1,2,1,50,50,100,1,1,2,32
639,379,7,2,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,34
645,176,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,2,49
670,317,7,2,1,1,1,3,1,2,1,1,2,1,0,0,100,1,1,1,25
788,184,7,2,1,0,1,2,1,2,1,1,2,1,0,0,100,1,1,2,34
