StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Conform_time_First Click,Conform_time_Last Click,Conform_time_Page Submit,Conform_time_Click Count,ProfManip,LeverManip,control,altTime_First Click,altTime_Last Click,altTime_Page Submit,altTime_Click Count,AgentCause,ObjectCause,control1,control2,Sex,Age,Eth,Race,FL_36_DO,FL_38_DO,FL_42_DO,Manipulation_DO
1/31/2019 12:58,1/31/2019 13:01,IP Address,,100,163,TRUE,1/31/2019 13:01,R_1li7waIzaLdjMK7,,,,,,,anonymous,EN,Yes,4.349,4.349,42.357,1,,"The red lever could have gotten stuck and not produced a pencil. Or the white lever could have been pulled instead, thereby using the last pencil and making the red lever useless. If the red lever hadn't produced a pencil for the professor, the student would have had one for the test.",,1.334,19.342,82.301,3,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,25,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 12:59,1/31/2019 13:01,IP Address,,100,130,TRUE,1/31/2019 13:01,R_3KpT31SozrN72bE,,,,,,,anonymous,EN,Yes,0.501,9.557,11.062,3,,,,56.949,76.13,76.185,6,Professor Smith,,The black lever,Professor Smith,,31,No,Black or African American,Agentcause,,,ProfManip|altTime
1/31/2019 12:57,1/31/2019 13:01,IP Address,,100,237,TRUE,1/31/2019 13:01,R_vwZZlGNbb60T1zr,,,,,,,anonymous,EN,Yes,6.171,23.007,48.776,3,,,"A vending machine exists. The vending machine is used by administrative assistants and students in order to retrieve supplies. A professor and an assistant approach the vending machine to get pencils. After them, a student tries to get a pencil but there are none left.",0.773,117.679,118.688,12,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,26,Yes,White,,,Objectcause,control|altTime
1/31/2019 12:59,1/31/2019 13:01,IP Address,,100,157,TRUE,1/31/2019 13:01,R_1OHm4YMmh3YjpuM,,,,,,,anonymous,EN,Yes,0,0,61.592,0,,,"The vending machine is used by students for school supplies, but professors can use it to.  Professor got the last pencil and the next person who needed one was a student. ",4.217,4.217,40.482,1,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,33,No,White,,,Agentcause,control|altTime
1/31/2019 12:59,1/31/2019 13:02,IP Address,,100,190,TRUE,1/31/2019 13:02,R_Z2yAX0qqm6io3Sx,,,,,,,anonymous,EN,Yes,1.834,36.847,54.343,2,He could have gotten his own pencil using his own money.  The student would have then had a pencil.  Student is ultimately paying to be there.  ,,,22.937,63.575,75.428,2,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,33,,,Agentcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:02,IP Address,,100,173,TRUE,1/31/2019 13:02,R_1DAqKCV63kXkeet,,,,,,,anonymous,EN,Yes,0,0,79.957,0,,they would not be able to perform the test,,24.357,24.357,40.762,1,Professor Smith,,The red lever,The administrative assisstant,Female,25,No,White,,Agentcause,,LeverManip|altTime
1/31/2019 12:59,1/31/2019 13:02,IP Address,,100,185,TRUE,1/31/2019 13:02,R_2WBDdACReFK12Pp,,,,,,,anonymous,EN,Yes,0,0,43.904,0,He should have his own pencils. The student could of had a pencil if the professor did not take one.,,,16.204,61.268,75.782,2,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,54,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:02,IP Address,,100,189,TRUE,1/31/2019 13:02,R_1PZT1s10u3RX4zW,,,,,,,anonymous,EN,Yes,2.595,2.595,56.23,1,,,"The vending machine is out of pencils, which a student needs, because the professor got them both. The machine has a tendency to malfunction, but that has nothing to do with the professor or the student getting or not getting the pencils.",5.34,5.34,63.281,1,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,45,No,White,,,Agentcause,control|altTime
1/31/2019 12:58,1/31/2019 13:02,IP Address,,100,263,TRUE,1/31/2019 13:02,R_3izfIEi9wLIZDFo,,,,,,,anonymous,EN,Yes,0,0,59.523,0,,,There is a vending machine that dispenses office supplies. The red and black levers dispense pencils while the white lever dispenses erasers. The white lever is broken so it dispenses and eraser and pencil but usually breaks the pencil in the process. The last 2 pencils are taken out of the vending machine by a professor and administrative assistant by using the black and red levers. A student needs a pencil but there are none left.,4.654,4.654,127.671,1,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Female,23,No,White,,,Objectcause,control|altTime
1/31/2019 12:59,1/31/2019 13:02,IP Address,,100,191,TRUE,1/31/2019 13:02,R_Z7RXYzAThM0Xkhb,,,,,,,anonymous,EN,Yes,3.013,5.547,48.072,2,,Pulling the red level would not have produced a pencil if there was one or few remaining. This would have left one pencil in the vending machine for the student.,,37.796,37.796,85.931,1,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Male,36,,,,Objectcause,,LeverManip|altTime
1/31/2019 12:58,1/31/2019 13:02,IP Address,,100,242,TRUE,1/31/2019 13:02,R_prU6Ijx2mfyfrI5,,,,,,,anonymous,EN,Yes,7.453,34.204,36.884,4,"I am surprised that these professors do not have their own supply of pencils.  That puts students at a disadvantage and given that students must take tests, that seems a bit wrong.",,,27.937,64.882,153.368,2,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,61,No,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:02,IP Address,,100,246,TRUE,1/31/2019 13:02,R_vYxR10gkJOtL3sR,,,,,,,anonymous,EN,Yes,64.552,64.552,65.244,1,,,A vending machine in a philosophy department dispenses pencils (via a black or red lever) and erasers (via a white lever which sometimes malfunctions and breaks a pencil). Prof. Smith and an administrative assistant both use the vending machine at the same time (pulling the red and black levers). Now the machine is out of pencils. A student tries using the machine the get a pencil but it is out. ,6.029,6.029,106.776,1,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Male,27,No,White,,,Objectcause,control|altTime
1/31/2019 12:58,1/31/2019 13:02,IP Address,,100,248,TRUE,1/31/2019 13:02,R_Z93jDHrOhfa1tcd,,,,,,,anonymous,EN,Yes,0,0,64.287,0,,"If the red lever did not function properly it would be important that everyone know that they have to use the black lever in order to get a pencil.  Otherwise, nobody would be getting any pencils and this could cause quite a problem at the university.",,17.149,17.149,80.747,1,The administrative assistant,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,41,No,White,,Agentcause,,LeverManip|altTime
1/31/2019 12:58,1/31/2019 13:02,IP Address,,100,271,TRUE,1/31/2019 13:02,R_2RVODBU1pawAgNw,,,,,,,anonymous,EN,Yes,45.402,45.954,47.611,2,,,"A vending machine in a school dispenses pencils and erasers. If you pull the white lever you get a pencil and an eraser, but the pencil usually breaks when dispensing. 2 people pulled pencil levers at the same time and got the last 2 pencils. When a student needed a pencil for a test, the dispenser had none left. ",3.931,3.931,80.5,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,32,No,White,,,Agentcause,control|altTime
1/31/2019 13:00,1/31/2019 13:03,IP Address,,100,185,TRUE,1/31/2019 13:03,R_3nUdSyc8uNbQbaX,,,,,,,anonymous,EN,Yes,0,0,58.001,0,If Professor Smith had not taken a pencil then that would have left one for the student. The student would have then been able to get a pencil from the machine even if they weren't supposed to.,,,12.125,69.823,81.537,3,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,45,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:03,IP Address,,100,279,TRUE,1/31/2019 13:03,R_1HbZtKDE6g1aZmC,,,,,,,anonymous,EN,Yes,0,0,80.074,0,"If Professor Smith had not taken a pencil from the vending machine, and no one used it after him, then the student might have been able to get a pencil.",,,13.125,73.747,90.565,2,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,36,Yes,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:03,IP Address,,100,258,TRUE,1/31/2019 13:03,R_2BxPva1OKfQiyVh,,,,,,,anonymous,EN,Yes,0.007,9.734,10.354,4,,"Well if you cant get a pencil, then you cannot take the test leading to a presumable bad grade.",,77.678,77.972,120.126,2,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,21,No,White,,Agentcause,,LeverManip|altTime
1/31/2019 12:59,1/31/2019 13:03,IP Address,,100,217,TRUE,1/31/2019 13:03,R_2Cxolaq6guAwdGO,,,,,,,anonymous,EN,Yes,0,0,70.661,0,,,"There was a pencil and eraser vending machine where one of the levers (white ) almost always malfunctions.  By the time a student got to the machine to get a pencil, they were out because a professor got the last one.",3.688,3.688,77.749,1,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,45,No,White,,,Agentcause,control|altTime
1/31/2019 12:58,1/31/2019 13:03,IP Address,,100,315,TRUE,1/31/2019 13:03,R_Dfa9gDPAzJV1q5r,,,,,,,anonymous,EN,Yes,16.947,70.479,72.666,9,,,There is a vending machine that has pencils and erasers in them. Two levers give out pencils one lever the white one give out erasers.The white lever is messed up. When pulled it gives out an eraser with a pencil but always breaks the pencil. Two teaches took the last two pencils out of the machine now a students needs one and there are none left.,7.869,147.843,148.432,3,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Female,41,No,White,,,Objectcause,control|altTime
1/31/2019 12:58,1/31/2019 13:03,IP Address,,100,296,TRUE,1/31/2019 13:03,R_2TnGUEZ98ZIjuOa,,,,,,,anonymous,EN,Yes,0.933,57.139,58.512,8,,"When pulling the red lever and it did not work, then there would still be a pencil in there that the other student could have used. The lever could have also broken the pencil like the white lever does, then there would also still not be enough pencils for all who had needed them.",,13.213,65.854,128.424,4,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,37,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 12:58,1/31/2019 13:04,IP Address,,100,363,TRUE,1/31/2019 13:04,R_3stVrJ2rDWkFdYs,,,,,,,anonymous,EN,Yes,3.571,13.553,66.061,3,,,"A university purchases a vending machine to track office supplies. The machine has three levers, black, red, and white; the white tends to malfunction. A professor and an assistant take the last pencils leaving a student who needs one for a test without.",2.446,183.209,187.467,17,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,48,No,White,,,Agentcause,control|altTime
1/31/2019 12:59,1/31/2019 13:04,IP Address,,100,304,TRUE,1/31/2019 13:04,R_qCQSyhMkseclO5b,,,,,,,anonymous,EN,Yes,0,0,66.686,0,"If the admin had pulled the lever first and taken a pencil, Professor Smith may have realized there was only one pencil left and saved it for a student.  If professor Smith had not taken a pencil, the student may have been able to get a pencil for the test.",,,22.941,102.575,151.295,3,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,41,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:04,IP Address,,100,323,TRUE,1/31/2019 13:04,R_3h6IeVpf2aylGiV,,,,,,,anonymous,EN,Yes,0,0,69.44,0,Had the professor not taken the pencil it would have been ready for the student who had a need for it in the testing.,,,41.174,41.174,87.909,1,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,70,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:04,IP Address,,100,318,TRUE,1/31/2019 13:04,R_21EuAYtf42Bb1Il,,,,,,,anonymous,EN,Yes,3.301,3.301,25.509,1,The student would have a pencil for the test. The student would have a pencil for the test.,,,2.001,108.664,110.972,4,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Female,27,Yes,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:04,IP Address,,100,300,TRUE,1/31/2019 13:04,R_W1M5mvSC0GurUnD,,,,,,,anonymous,EN,Yes,0,0,102.885,0,,Had it not worked there might still be a pencil for the student and yet one of the professors wouldn't have a pencil,,37.294,37.294,102.456,1,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,61,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 13:02,1/31/2019 13:05,IP Address,,100,161,TRUE,1/31/2019 13:05,R_6nBKySsAQ4vDLqx,,,,,,,anonymous,EN,Yes,0,0,16.206,0,,,"There was a container with pencils in it. You can use them, but they couldn't find them later onl",1.058,1.058,42.999,1,,The red lever,"The black lever,The white lever",The student,Male,40,No,White,,,Objectcause,control|altTime
1/31/2019 13:02,1/31/2019 13:05,IP Address,,100,182,TRUE,1/31/2019 13:05,R_3eaeV8KDwSSQRkE,,,,,,,anonymous,EN,Yes,7.182,7.182,41.894,1,"If Professor Smith had brought his own pencils, he wouldn't have had to get one from the vending machine. If he hadn't taken one from the vending machine, the student who needed a pencil for the test would have gotten one.",,,3.128,31.809,79.867,3,,The black lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,32,Yes,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:58,1/31/2019 13:05,IP Address,,100,414,TRUE,1/31/2019 13:05,R_3jTpoiGzl2xKJmz,,,,,,,anonymous,EN,Yes,15.498,15.498,30.224,1,"If Professor Smith had not taken a pencil, it could be make some serious harmful problems about to vending machine dispense.",,,28.47,110.285,183.05,6,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Female,23,No,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:05,IP Address,,100,390,TRUE,1/31/2019 13:05,R_1QslKmUKwiVCdra,,,,,,,anonymous,EN,Yes,5.149,91.561,97.222,3,,,"A vending machine has pencils and erasers. Sometimes when an eraser is requested by a white lever, the machine breaks a pencil in the process. Several people get pencils they need, but the vending machine ran out of pencils so a student who needs one for a test cannot get a pencil.",32.837,138.467,140.111,5,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Female,67,No,White,,,Objectcause,control|altTime
1/31/2019 12:59,1/31/2019 13:05,IP Address,,100,402,TRUE,1/31/2019 13:05,R_1gBav24QiSSw78v,,,,,,,anonymous,EN,Yes,0,0,98.728,0,,,"The vending machine holds pencils and erasers. To get a pencil you could pull the red or black lever. To get an eraser, pull the white lever. Two people pull levers at the same time, red and black and both receive a pencil. Later, a student tries to get a pencil but the machine is empty.",6.695,6.695,185.74,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,64,No,Black or African American,,,Agentcause,control|altTime
1/31/2019 13:03,1/31/2019 13:06,IP Address,,100,152,TRUE,1/31/2019 13:06,R_bgEKU1vKSy70KoF,,,,,,,anonymous,EN,Yes,3.683,16.764,17.849,5,,There is the chance that there are simply no more pencils left to get. There is also the chance that one of the later parts of the lever leading to the pencil drop happens to be broken. ,,3.409,65.886,67.804,3,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,24,No,White,,Agentcause,,LeverManip|altTime
1/31/2019 13:01,1/31/2019 13:06,IP Address,,100,274,TRUE,1/31/2019 13:06,R_3QSsHTp1IhaKqJQ,,,,,,,anonymous,EN,Yes,0,0,70.629,0,"Professor Smith could have brought a pencil from home, thus not needing to use the vending machine for one. If Professor Smith had not taken a pencil from the machine, the student that needed a pencil could have gotten the last one from the machine - unless someone else had gotten it from the machine before the student went to the machine. ",,,19.37,26.977,129.471,2,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,38,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:57,1/31/2019 13:06,IP Address,,100,534,TRUE,1/31/2019 13:06,R_27al3tVVQBvvSnG,,,,,,,anonymous,EN,Yes,0,0,176.68,0,The other person might have told him that sometime students need pencils and the Prof. Smith not take one. He could share the pencil with the other person. Then the student would have a pencil.,,,45.859,45.859,163.868,1,,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,60,No,White,Objectcause,,,ProfManip|altTime
1/31/2019 12:59,1/31/2019 13:07,IP Address,,100,485,TRUE,1/31/2019 13:07,R_1GHvAfyHKPc7HG9,,,,,,,anonymous,EN,Yes,13.869,75.441,94.62,3,"By pulling either the black or red lever professor smith would have gotten the pencil.  If Professor Smith wanted only an eraser, he could have pulled the white lever and gotten either an eraser only, or an eraser and a broken pencil.  There is no guarantee, other than not pulling any lever, that Professor Smith would not have taken a pencil.",,,39.129,73.121,303.151,4,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,66,No,White,Agentcause,,,ProfManip|altTime
1/31/2019 12:57,1/31/2019 13:08,IP Address,,100,602,TRUE,1/31/2019 13:08,R_T1PRX4tl3cspfTr,,,,,,,anonymous,EN,Yes,135.997,135.997,223.391,1,,,School had a vending machine that dispenses office supplies. The white level frequently malfunction and dispenses pencils and eraser. New professor was not told about this problem and went to the vending machine with another colleague and it cause the vending machine to have no more pencils left. A student needed to take a test which caused a major problem.,7.596,185.644,189.716,5,,The black lever,"The red lever,The black lever,The white lever",Professor Smith,Female,48,No,"American Indian/Alaskan Native,Black or African American",,,Objectcause,control|altTime
1/31/2019 12:59,1/31/2019 13:08,IP Address,,100,560,TRUE,1/31/2019 13:08,R_2sQCWUrcGcmXEC8,,,,,,,anonymous,EN,Yes,0,0,66.832,0,Professor Smith could have asked what the pencils were primarily used for. If the response was that they were used by students for tests they may have decided not to take one of the last ones in the machines. This may have resulted in the students having a pencil when needed.,,,31.1,65.756,106.493,2,Professor Smith,,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,26,No,Black or African American,Agentcause,,,ProfManip|altTime
1/31/2019 13:05,1/31/2019 13:09,IP Address,,100,213,TRUE,1/31/2019 13:09,R_2fIrQEgKvtQ52wG,,,,,,,anonymous,EN,Yes,49.719,61.268,72.54,2,,If the red level had not functioned then there would have been an extra pencil in the machine for the student. If the lever had not worked for the staff member then when the student went to get a pencil it would have been available.,,0.971,32.185,87.331,8,,The red lever,"The red lever,The black lever","Professor Smith,The administrative assisstant",Female,32,No,White,,Objectcause,,LeverManip|altTime
1/31/2019 13:05,1/31/2019 13:09,IP Address,,100,261,TRUE,1/31/2019 13:09,R_1eE3SLTQKdMfZsU,,,,,,,anonymous,EN,Yes,61.143,66.137,67.129,2,,,"A professor and a administrative assistant both wanted a pencil and took them from the vending machine by pulling the black and red lever. Soon after, a student needed a pencil to take a test and went to the vending machine to get one. But, the professor and the assistant had taken the last two pencils, so the student did not get one.",5.158,135.351,137.281,8,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,28,No,White,,,Agentcause,control|altTime
1/31/2019 13:05,1/31/2019 13:09,IP Address,,100,279,TRUE,1/31/2019 13:09,R_3NKCUiPVgj3oxTv,,,,,,,anonymous,EN,Yes,15.086,67.84,68.259,11,,"Maybe the red lever could have no produced anything. However, if that were the case, Professor Smith may have just pulled on the black lever afterwards to get the pencil that they needed. No matter what, there were two pencils left and they would have definitely been taking or broken with the white lever. ",,0.736,6.6,172.668,2,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,26,No,Asian,,Agentcause,,LeverManip|altTime
1/31/2019 13:04,1/31/2019 13:10,IP Address,,100,349,TRUE,1/31/2019 13:10,R_yxqKRcNMsu99SFj,,,,,,,anonymous,EN,Yes,0,0,104.507,0,,,"There's a philosophy department at a university with a vending machine. It gives pencils with a red or black lever and erasers with a white lever. But usually when you pull the white lever it also dispenses a pencil and breaks it. There's a dude named Professor Smith and he goes to get a pencil, and so does an administrative assistant. They each use the black or red lever, taking the last two pencils. Then a student tries to get a pencil for a test but there are none left.",43.502,43.502,121.751,1,,"The black lever,The red lever","The red lever,The black lever","Professor Smith,The administrative assisstant",Female,27,No,White,,,Objectcause,control|altTime
1/31/2019 13:00,1/31/2019 13:10,IP Address,,100,618,TRUE,1/31/2019 13:10,R_3sjEwm57EGkAppL,,,,,,,anonymous,EN,Yes,0,0,177.128,0,,,A vending machine in a university dispenses pencils and erasers. Black lever: pencil. Red lever: pencil. White lever: eraser (malfunctions dispensing eraser plus broken pencil). A profesor and an assistant get two pencils but there are no pencils left for a student that needs one desperately.,10.603,10.603,279.399,1,"The administrative assistant,Professor Smith",,"The red lever,The black lever","Professor Smith,The administrative assisstant",Male,58,No,White,,,Agentcause,control|altTime
